date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:13:38	16946/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:05%20GMT	http://noi.openjudge.cn/ch0113/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0113/index.html	(from http://noi.openjudge.cn/)
17:13:38	7373/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:06%20GMT	http://noi.openjudge.cn/ch0113/11/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0113/11/index.html	(from http://noi.openjudge.cn/)
17:13:38	7235/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:07%20GMT	http://noi.openjudge.cn/ch0113/05/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0113/05/index.html	(from http://noi.openjudge.cn/)
17:13:39	8122/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:07%20GMT	http://noi.openjudge.cn/ch0113/44/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0113/44/index.html	(from http://noi.openjudge.cn/)
17:13:39	7137/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:07%20GMT	http://noi.openjudge.cn/ch0113/10/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0113/10/index.html	(from http://noi.openjudge.cn/)
17:13:39	8065/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:08%20GMT	http://noi.openjudge.cn/ch0201/7623/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0201/7623/index.html	(from http://noi.openjudge.cn/)
17:13:40	8056/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:08%20GMT	http://noi.openjudge.cn/ch0201/7621/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0201/7621/index.html	(from http://noi.openjudge.cn/)
17:13:41	7287/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:08%20GMT	http://noi.openjudge.cn/ch0201/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0201/index.html	(from http://noi.openjudge.cn/)
17:13:41	7322/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:08%20GMT	http://noi.openjudge.cn/ch0201/6188/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0201/6188/index.html	(from http://noi.openjudge.cn/)
17:13:41	7667/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:09%20GMT	http://noi.openjudge.cn/ch0201/6187/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0201/6187/index.html	(from http://noi.openjudge.cn/)
17:13:41	7784/-1	---M--	200	added ('OK')	text/html	date:Sat,%2012%20Sep%202015%2009:15:10%20GMT	http://noi.openjudge.cn/ch0201/1812/	/home/skyzh/noi.openjudge.cn/noi-site/noi.openjudge.cn/ch0201/1812/index.html	(from http://noi.openjudge.cn/)
